"","bodyid","pre","post","upstream","downstream","status","statusLabel","voxels","cropped","name","type","cellBodyFiber.x","notes","soma","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber.y","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"39",5813024799,265,519,519,2313,"Traced","Roughly traced",539427272,FALSE,"M_lPNm12_R","M_lPNm12","AVM02",NA,TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm12",3.128,3,"57455","good","(121363.75, 58827.71, 1804)","720575940630352979",NA,NA,NA,NA,"ASB",NA
"40",1693486219,279,420,420,1963,"Traced","Roughly traced",536061546,FALSE,"M_lPNm13_R","M_lPNm13","AVM02",NA,TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm13",2.307,2,"57389","good","(121146.085, 58682.4225, 1866)","720575940621273066",NA,NA,NA,NA,"ASB",NA
"41",5812983069,274,509,509,2166,"Traced","Roughly traced",590986924,FALSE,"M_lPNm13_R","M_lPNm13","AVM02",NA,TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm13",2.661,2,"57450","good","(122256.825, 58962.915, 1861)","720575940621622535",NA,NA,NA,NA,"ASB",NA
"42",1102334088,758,2166,2166,6719,"Traced","Roughly traced",1286597515,FALSE,"M_lv2PN9t49_R","M_lv2PN9t49",NA,"VP2++ lv2PN (Marin et al. Curr Biol 2020)",FALSE,NA,NA,NA,"M_lv2PN9t49",3.168,3,"4002166","good","(114709.125, 69529.625, 2456)","720575940621817085",NA,NA,NA,NA,"ASB",NA
"43",1888178718,983,3224,3224,10051,"Traced","Roughly traced",1529111094,FALSE,"M_lv2PN9t49_R","M_lv2PN9t49",NA,NA,FALSE,NA,NA,NA,"M_lv2PN9t49",2.66,3,"4002166",NA,"(106564, 64723.5, 3681)","720575940629475385",NA,NA,NA,NA,"ASB",NA
"44",1671952694,903,1818,1818,9400,"Traced","Roughly traced",1660907097,FALSE,"M_lvPNm24_R","M_lvPNm24","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm24",2.309,2,"177584","good","(120232.475, 62621.7425, 2106)","720575940621885879","GMR_MB390B-20150814_31_C4","good",NA,NA,"ASB",NA
"45",577542489,809,1714,1714,7973,"Traced","Roughly traced",1270054861,FALSE,"M_lvPNm24_R","M_lvPNm24","AVM06",NA,FALSE,"ALlv1","BAlp4","AVM06","M_lvPNm24",2.281,2,"177545","good","(120004.1325, 62719.735, 2080)","720575940614141725","GMR_MB390B-20150814_31_C2","good",NA,NA,"ASB",NA
"46",1411784734,426,799,799,4045,"Traced","Roughly traced",799164517,FALSE,"M_lvPNm25_R","M_lvPNm25","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm25",2.251,2,"177997","good","(120219.3, 62586.5, 1981)","720575940621387049",NA,NA,NA,NA,"ASB",NA
"47",639276164,375,570,570,3455,"Traced","Roughly traced",642275219,FALSE,"M_lvPNm25_R","M_lvPNm25","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm25",2.241,2,"1142316","good","(118734.64, 62901.07, 1834)","720575940613457088",NA,NA,NA,NA,"ASB",NA
"48",1730656082,319,707,707,3030,"Traced","Roughly traced",613722418,FALSE,"M_lvPNm26_R","M_lvPNm26","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm26",2.478,3,"1144225","good","(119892.0625, 62636.715, 2002)","720575940612975040",NA,NA,NA,NA,"ASB",NA
