"","bodyid","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"59",609924156,"ALlv1","BAlp4","AVM06","M_lvPNm39",2.233,2,"177540","good","(119786.04, 62760.3625, 1849)","720575940625857352",NA,NA,NA,NA,"ASB",NA
"60",697844568,"ALlv1","BAlp4","AVM06","M_lvPNm40",2.79,3,"57080","good","(118369.9, 62567.975, 1664)","720575940657837185",NA,NA,NA,NA,"ASB",NA
"61",1732313117,"ALlv1","BAlp4","AVM06","M_lvPNm40",2.856,3,"57039","good","(119348.43, 62282.14, 1769)","720575940612650688",NA,NA,NA,NA,"ASB",NA
"62",730252777,"ALlv1","BAlp4","AVM06","M_lvPNm41",2.624,3,"57023","good","(117845.945, 62314.175, 1624)","720575940617337048",NA,NA,NA,NA,"ASB",NA
"63",1765415970,"ALlv1","BAlp4","AVM06","M_lvPNm41",2.472,3,"57047","good","(117584.1, 62372.7075, 1579)","720575940609565168",NA,NA,NA,NA,"ASB",NA
"64",1795410644,"ALlv1","BAlp4","AVM06","M_lvPNm41",3.021,3,"57076","good","(118864.695, 62367.14, 1814)","720575940617979177",NA,NA,NA,NA,"ASB",NA
"65",851684181,"ALlv1","BAlp4","AVM06","M_lvPNm42",2.991,3,"57011","good","(118311.485, 62690.175, 1679)","720575940621057023",NA,NA,NA,NA,"ASB",NA
"66",1827473315,"ALlv1","BAlp4","AVM06","M_lvPNm42",2.826,3,"57019","good","(115741.2425, 62564.695, 1491)","720575940612325056",NA,NA,NA,NA,"ASB",NA
"67",792024028,"ALlv1","BAlp4","AVM06","M_lvPNm43",2.901,3,"57089","good","(118815.575, 62555.65, 1756)","720575940618003335",NA,NA,NA,NA,"ASB",NA
"68",757569579,"ALlv1","BAlp4","AVM06","M_lvPNm44",2.322,2,"1720254","good","(119230.805, 62187.91, 1865)","720575940613126111",NA,NA,NA,NA,"ASB",NA
"69",757258507,"ALlv1","BAlp4","AVM06","M_lvPNm45",2.09,2,"57158","good","(118740.7425, 62629.785, 1793)","720575940614163229",NA,NA,NA,NA,"ASB",NA
"70",757591093,"ALlv1","BAlp4","AVM06","M_lvPNm45",2.102,2,"57179","good","(118902.665, 62346.14, 1950)","720575940633320372",NA,NA,NA,NA,"ASB",NA
"71",792023887,"ALlv1","BAlp4","AVM06","M_lvPNm45",2.371,2,"57035","good","(118763.61, 62395.6, 1717)","720575940630503372",NA,NA,NA,NA,"ASB",NA
"72",1849683877,"ALlv1","BAlp4","AVM06","M_lvPNm46",2.102,2,"57208","good","(120610.25, 62102.4575, 2221)","720575940614247709",NA,NA,NA,NA,"ASB",NA
"73",5812992940,"ALlv1","BAlp4","AVM06","M_lvPNm46",2.065,2,"57204","good","(118938.195, 62187.7075, 2126)","720575940618120980",NA,NA,NA,NA,"ASB",NA
"74",1856820042,"ALlv1","BAlp4","AVM06","M_lvPNm47",3.23,3,"57126","good","(119191.7575, 62446.715, 2208)","720575940614132765",NA,NA,NA,NA,"ASB",NA
"75",1912435859,"ALlv1","BAlp4","AVM06","M_lvPNm47",3.227,3,"57232","good","(119116.375, 62042.575, 2188)","720575940635888959",NA,NA,NA,NA,"ASB",NA
"76",850708783,"ALlv1","BAlp4","AVM06","M_lvPNm48",3.298,3,"57138","good","(118618.7, 62649.5575, 2244)","720575940612469184",NA,NA,NA,NA,"ASB",NA
"77",1912777226,"ALlv1","BAlp4","AVM06","M_lvPNm48",3.048,3,"57134","good","(118566.15, 63285.345, 2286)","720575940630608723",NA,NA,NA,NA,"ASB",NA
"78",1975187554,"ALlv1","BAlp4","AVM06","M_lvPNm48",2.887,3,"57051","good","(118278.515, 63383.1325, 2264)","720575940625116549",NA,NA,NA,NA,"ASB",NA
"79",610274029,"ALv1","BAla1","AVM04","M_vPNml50",3.085,3,"3003322","good","(119828.6, 60110.2925, 1919)","720575940643268206",NA,NA,NA,NA,"ASB",NA
"80",610274046,"ALv1","BAla1","AVM04","M_vPNml50",3.037,3,"2766186","good","(118190.445, 60474.0475, 1683)","720575940643267950",NA,NA,NA,NA,"ASB",NA
"81",2383731281,"ALv1","BAla1","AVM04","M_vPNml51",2.698,3,"4926877","good","(114213.625, 62011.97, 1938)","720575940628308284",NA,NA,NA,NA,"ASB",NA
"82",823037476,"ALv1","BAla1","AVM04","M_vPNml52",2.321,2,"1725235","good","(114132.65, 60609.535, 1765)","720575940612992479",NA,NA,NA,NA,"ASB",NA
