"","query","pre_id","weight","n","type","xyz"
"264","720575940643268206","720575940611303377",14,1,"VC3m_lvPN","(120102.39, 62127.7625, 2070)"
"265","720575940643268206","720575940613161033",14,1,NA,NA
"266","720575940643268206","720575940613167007",14,1,"VM7d_adPN","(100535.53, 33373.23, 4558)"
"267","720575940643268206","720575940618381808",14,1,NA,NA
"268","720575940643268206","720575940618690581",14,1,NA,NA
"269","720575940643268206","720575940618759027",14,1,NA,NA
"270","720575940643268206","720575940618827792",14,1,NA,NA
"271","720575940643268206","720575940618892168",14,1,NA,NA
"272","720575940643268206","720575940619176265",14,1,NA,NA
"273","720575940643268206","720575940619796152",14,1,NA,NA
"274","720575940643268206","720575940621590965",14,1,"DA4m_adPN","(114569.525, 63601.9575, 1617)"
"275","720575940643268206","720575940625542929",14,1,"lLN2F_b","(115253.65, 57891.585, 1438)"
"276","720575940643268206","720575940626797391",14,1,"MBON12","126720,71586,1576"
"277","720575940643268206","720575940633699969",14,1,NA,NA
"278","720575940643268206","720575940637885568",14,1,NA,NA
"279","720575940643268206","720575940646000001",14,1,NA,NA
"280","720575940631539993","720575940611702737",14,1,NA,NA
"281","720575940631539993","720575940616835409",14,1,NA,NA
"282","720575940631539993","720575940618596955",14,1,NA,NA
"283","720575940631539993","720575940623796030",14,1,NA,NA
"284","720575940631539993","720575940624835209",14,1,NA,NA
"285","720575940631539993","720575940629138016",14,1,NA,NA
"286","720575940643267950","720575940608377134",13,1,"VC3m_lvPN","(120326.575, 61945.18, 2047)"
"287","720575940643267950","720575940610712062",13,1,NA,NA
"288","720575940643267950","720575940611236504",13,1,NA,NA
"289","720575940643267950","720575940615841826",13,1,NA,NA
"290","720575940643267950","720575940616603937",13,1,NA,NA
"291","720575940643267950","720575940618009509",13,1,NA,NA
"292","720575940643267950","720575940618520411",13,1,"lLN1_b","(110856.47, 58007.9325, 1405)"
"293","720575940643267950","720575940619313225",13,1,NA,NA
"294","720575940643267950","720575940620249496",13,1,NA,NA
"295","720575940643267950","720575940621088355",13,1,"VA1d_adPN","(116923.32, 58483.8625, 1201)"
"296","720575940643267950","720575940626124362",13,1,"DC2_adPN","(97909.945, 34196.355, 4387)"
"297","720575940643267950","720575940630007948",13,1,"lLN2T_c","(113494.5, 57781.75, 1396)"
"298","720575940643267950","720575940632388270",13,1,"VP1m_l2PN","(116893, 65962.235, 2392)"
"299","720575940611933905","720575940612807903",13,1,NA,NA
"300","720575940611933905","720575940615255993",13,1,NA,NA
"301","720575940611933905","720575940616835409",13,1,NA,NA
"302","720575940611933905","720575940618963117",13,1,NA,NA
"303","720575940611933905","720575940620550799",13,1,NA,NA
"304","720575940611933905","720575940622739039",13,1,NA,NA
"305","720575940611933905","720575940625231104",13,1,NA,NA
"306","720575940611933905","720575940626929408",13,1,NA,NA
"307","720575940611933905","720575940628882450",13,1,NA,NA
"308","720575940611933905","720575940634177893",13,1,NA,NA
"309","720575940611933905","720575940637334224",13,1,NA,NA
"310","720575940611933905","720575940638426064",13,1,"il3LN6","(123456.25, 83791.75, 2704)"
"311","720575940643268206","720575940613852614",13,1,"V_ilPN","(136550.225, 76397.1875, 2816)"
"312","720575940643268206","720575940618625395",13,1,NA,NA
"313","720575940643268206","720575940624945182",13,1,"M_adPNm8","(115658.265, 56608.145, 1617)"
"314","720575940643268206","720575940626258182",13,1,NA,NA
"315","720575940643268206","720575940627301242",13,1,"VA3_adPN","(118457.175, 60349.825, 1324)"
"316","720575940643268206","720575940627606483",13,1,"VM5d_adPN","(110241.04, 33335.6125, 4740)"
"317","720575940631539993","720575940600735942",13,1,NA,NA
"318","720575940631539993","720575940601731439",13,1,NA,NA
"319","720575940631539993","720575940619108781",13,1,NA,NA
"320","720575940631539993","720575940623104975",13,1,NA,NA
"321","720575940631539993","720575940624265287",13,1,NA,NA
"322","720575940631539993","720575940642704407",13,1,NA,NA
"323","720575940631539993","720575940656801921",13,1,NA,NA
"324","720575940643267950","720575940587396196",12,1,NA,NA
"325","720575940643267950","720575940604899970",12,1,"VC3m_lvPN","(120070.1325, 62243.2375, 1880)"
"326","720575940643267950","720575940611081443",12,1,NA,NA
"327","720575940643267950","720575940612342021",12,1,NA,NA
"328","720575940643267950","720575940613254285",12,1,NA,NA
"329","720575940643267950","720575940618892168",12,1,NA,NA
"330","720575940643267950","720575940619796152",12,1,NA,NA
"331","720575940643267950","720575940622107209",12,1,"D_adPN","(117219.47, 56824.2975, 1363)"
"332","720575940643267950","720575940622981709",12,1,"VM7v_adPN","(120590.575, 59918.4175, 1356)"
"333","720575940611933905","720575940600818886",12,1,NA,NA
"334","720575940611933905","720575940605564102",12,1,NA,NA
"335","720575940611933905","720575940608777170",12,1,NA,NA
"336","720575940611933905","720575940613991188",12,1,NA,NA
"337","720575940611933905","720575940617113863",12,1,NA,NA
"338","720575940611933905","720575940617427791",12,1,NA,NA
"339","720575940611933905","720575940619742469",12,1,NA,NA
"340","720575940611933905","720575940620028908",12,1,NA,NA
"341","720575940611933905","720575940620168591",12,1,NA,NA
"342","720575940611933905","720575940625507496",12,1,NA,NA
"343","720575940611933905","720575940626913127",12,1,NA,NA
"344","720575940611933905","720575940629216583",12,1,NA,NA
"345","720575940611933905","720575940636044193",12,1,NA,NA
"346","720575940611933905","720575940642196503",12,1,NA,NA
"347","720575940643268206","720575940602372576",12,1,"M_lPNm11D","(120701.29, 58521.5975, 1926)"
"348","720575940643268206","720575940605928956",12,1,NA,NA
"349","720575940643268206","720575940612443874",12,1,NA,NA
"350","720575940643268206","720575940612613370",12,1,NA,NA
"351","720575940643268206","720575940615841826",12,1,NA,NA
"352","720575940643268206","720575940616971305",12,1,NA,NA
"353","720575940643268206","720575940618009509",12,1,NA,NA
"354","720575940643268206","720575940619577840",12,1,"VM5d_adPN","(121000.175, 58851.91, 1375)"
"355","720575940643268206","720575940620003866",12,1,"MBON28","89719,35271,5178"
"356","720575940643268206","720575940622107209",12,1,"D_adPN","(117219.47, 56824.2975, 1363)"
